,actor loss,critic loss
0,2205.713699624803,1149079810.0622222
1,4814.979717578888,1589003923.768889
2,-4585.447622169919,2363499860.48
3,-4057.1816195911833,3815049223.9644446
4,11858.927609592014,1795802294.471111
5,-26.72080490960015,1287394204.231111
6,-1213.5338100947274,1064071299.2
7,3024.770849225786,1152439970.4177778
8,-6412.811651119656,1451074749.1555555
9,-978.3263312191433,1497356543.288889
10,3613.7516025649174,1157026261.048889
11,-2160.256307776769,1131009597.1555555
12,1927.2937184577518,1769491745.7066667
13,-5356.934125908746,1585681599.1466668
14,1681.0247482384575,1306895238.1155555
15,2768.4880150053236,1086392839.751111
16,-2211.0703238254123,1456191615.5022223
17,-3966.3480890528363,1333862531.4844444
18,6590.386470625135,1161823297.0666666
19,-267.44403324736487,1443255099.8755555
20,3127.1256329509947,908265664.2133334
21,387.70470030082595,1171789919.431111
22,1450.3496553463406,1139314919.68
23,652.3366756174299,2357537075.128889
24,-2447.2436114650304,1363181023.7866666
25,909.3540119934082,1022805683.4844445
26,-6432.734791734483,1467687381.9733334
27,1412.6613623020385,1052890086.471111
28,-3781.369978697035,1722043139.9822223
29,-1946.3925027444627,1713346397.0133333
30,4876.235287445916,1595940807.5377777
31,6972.7623195126325,1135494258.9866667
32,4757.262783830431,1348628031.5733333
33,1786.2222724501291,1567817793.1377778
34,-2199.5765423064763,1611219773.1555555
35,-178.39735368092855,1681882004.7644444
36,-3594.0798943456016,1522331476.0533333
37,2627.5909784232244,1098441366.7555556
38,-2565.5521568436093,1414045606.4
39,3594.6894050894844,968986333.5111111
40,-512.6069858879513,1244531428.6933334
41,4135.832312753466,1897387315.2
42,208.4696803381708,1225833335.6088889
43,-3046.7887076187135,1033980281.6
